PB,Prosperity Bancshares Inc.,NYFIN
STWD,Starwood Property Trust Inc.,NYFIN
THG,Hanover Insurance Group Inc.,NYFIN
CLP,Colonial Properties Trust,NYFIN
CSE,CapitalSource Inc.,NYFIN
SFG,StanCorp Financial Group Inc.,NYFIN
TWO,Two Harbors Investment Corp.,NYFIN
OFC,Corporate Office Properties Trust,NYFIN
DRH,Diamondrock Hospitality Co.,NYFIN
MIM,MI Developments Inc.,NYFIN
MBI,MBIA Inc.,NYFIN
CNO,CNO Financial Group Inc.,NYFIN
BCA,CorpBanca S.A.,NYFIN
WBS,Webster Financial Corp.,NYFIN
FNB,F.N.B. Corp.,NYFIN
TCB,TCF Financial Corp.,NYFIN
JNS,Janus Capital Group Inc.,NYFIN
HR,Healthcare Realty Trust Inc.,NYFIN
FAF,First American Financial Corp.,NYFIN
CWH,CommonWealth REIT,NYFIN
ENH,Endurance Specialty Holdings Ltd.,NYFIN
OCN,Ocwen Financial Corp.,NYFIN
JOE,St. Joe Co.,NYFIN
SNV,Synovus Financial Corp.,NYFIN
BDN,Brandywine Realty Trust,NYFIN
CYS,CYS Investments Inc.,NYFIN
DFT,Dupont Fabros Technology Inc.,NYFIN
HHC,Howard Hughes Corp.,NYFIN
DCT,DCT Industrial Trust Inc.,NYFIN
CSH,Cash America International Inc.,NYFIN
SSS,Sovran Self Storage Inc.,NYFIN
PTP,Platinum Underwriters Holdings Ltd.,NYFIN
KCG,Knight Capital Group Inc. Cl A,NYFIN
EGP,EastGroup Properties Inc.,NYFIN
GHL,Greenhill & Co. Inc.,NYFIN
CUBE,CubeSmart,NYFIN
MPW,Medical Properties Trust Inc.,NYFIN
KMPR,Kemper Corp.,NYFIN
RLI,RLI Corp.,NYFIN
PRI,Primerica Inc.,NYFIN
LXP,Lexington Realty Trust,NYFIN
PSB,PS Business Parks Inc.,NYFIN
EQY,Equity One Inc.,NYFIN
RLJ,RLJ Lodging Trust,NYFIN
ONB,Old National Bancorp,NYFIN
MCY,Mercury General Corp.,NYFIN
CMO,Capstead Mortgage Corp.,NYFIN
PEB,Pebblebrook Hotel Trust,NYFIN
MRH,Montpelier Re Holdings Ltd.,NYFIN
NHI,National Health Investors Inc.,NYFIN
SHO,Sunstone Hotel Investors Inc.,NYFIN
ALX,Alexander's Inc.,NYFIN
GRT,Glimcher Realty Trust,NYFIN
CBU,Community Bank System Inc.,NYFIN
FR,First Industrial Realty Trust Inc.,NYFIN
SUI,Sun Communities Inc.,NYFIN
BEE,Strategic Hotels & Resorts Inc.,NYFIN
EDR,Education Realty Trust Inc.,NYFIN
LTC,LTC Properties Inc.,NYFIN
BXS,BancorpSouth Inc.,NYFIN
AKR,Acadia Realty Trust,NYFIN
BKU,BankUnited Inc.,NYFIN
MTG,MGIC Investment Corp.,NYFIN
GOV,Government Properties Income Trust,NYFIN
ANH,Anworth Mortgage Asset Corp.,NYFIN
RWT,Redwood Trust Inc.,NYFIN
ARR,Armour Residential REIT Inc.,NYFIN
CNA,CNA Financial Corp.,NYFIN
AF,Astoria Financial Corp.,NYFIN
PFS,Provident Financial Services Inc.,NYFIN
HT,Hersha Hospitality Trust Cl A,NYFIN
SYA,Symetra Financial Corp.,NYFIN
PVD,A.F.P. Provida S.A.,NYFIN
CXS,Crexus Investment Corp.,NYFIN
BMA,Banco Macro S.A.,NYFIN
EVR,Evercore Partners Inc. Cl A,NYFIN
PEI,Pennsylvania Real Estate Investment Trust,NYFIN
AEL,American Equity Investment Life Holding Co.,NYFIN
NNI,Nelnet Inc. Cl A,NYFIN
FPO,First Potomac Realty Trust,NYFIN
CNS,Cohen & Steers Inc.,NYFIN
EIG,Employers Holdings Inc.,NYFIN
