Date,Open,High,Low,Close,Volume,Adj Close
2009-01-06,55.93,56.93,55.00,55.70,8081600,48.86
2009-01-05,55.82,55.90,55.10,55.60,7122000,48.77
2009-01-02,54.93,56.14,54.72,55.97,5182400,49.09
2008-12-31,55.03,55.57,54.61,54.77,5024400,48.04
2008-12-30,54.11,55.02,54.09,54.88,5010600,48.14
2008-12-29,54.81,55.07,53.42,54.07,4708600,47.43
2008-12-26,54.69,55.12,54.27,54.56,2855000,47.86
2008-12-24,54.25,54.84,54.07,54.54,2051200,47.84
2008-12-23,53.77,55.24,53.66,54.17,6249900,47.52
2008-12-22,54.28,54.85,52.96,53.75,5738700,47.15
2008-12-19,54.84,55.49,53.83,54.09,11422100,47.45
2008-12-18,54.62,55.38,54.38,54.71,10270600,47.99
2008-12-17,53.77,54.91,53.26,54.33,8002500,47.66
2008-12-16,52.91,54.42,52.51,54.21,9408900,47.55
2008-12-15,52.41,52.87,51.12,52.42,6148700,45.98
2008-12-12,51.55,52.34,51.01,52.03,6984400,45.64
2008-12-11,53.00,54.00,52.43,52.71,5699500,46.24
2008-12-10,52.62,53.47,52.27,53.01,5651200,46.50
2008-12-09,53.42,53.63,51.96,52.27,7472100,45.85
2008-12-08,54.39,54.50,52.86,53.60,9974200,47.02
2008-12-05,52.41,54.51,51.37,53.37,9936200,46.81
2008-12-04,53.66,54.51,51.82,52.33,7775200,45.90
2008-12-03,53.49,54.23,52.48,54.08,10379100,47.44
2008-12-02,54.51,54.84,53.11,54.45,7039200,47.39
2008-12-01,55.56,56.40,53.54,53.64,7918200,46.68
2008-11-28,55.18,56.81,55.01,56.70,3526300,49.35
2008-11-26,53.88,55.03,52.53,54.93,8115500,47.81
2008-11-25,55.71,56.86,52.64,54.00,11302400,47.00
2008-11-24,54.90,55.99,52.92,55.66,14416500,48.44
2008-11-21,51.24,54.78,49.74,54.59,17891200,47.51
2008-11-20,51.59,53.95,50.00,50.29,13542800,43.77
2008-11-19,52.81,54.40,51.80,52.10,11360000,45.34
2008-11-18,52.02,53.88,51.11,53.14,13268800,46.25
2008-11-17,53.47,54.79,52.60,52.97,8527600,46.10
2008-11-14,54.78,56.13,52.11,53.52,9990700,46.58
2008-11-13,53.28,55.69,52.01,55.59,10991600,48.38
2008-11-12,54.12,55.06,52.92,53.10,7447800,46.21
2008-11-11,54.61,56.12,53.47,55.08,7532200,47.94
2008-11-10,56.38,56.39,53.75,54.61,7633300,47.53
2008-11-07,55.30,56.17,54.24,55.36,9906900,48.18
2008-11-06,56.42,57.40,54.10,54.85,10154600,47.74
2008-11-05,58.53,59.05,56.65,57.01,8610400,49.62
2008-11-04,58.49,59.23,57.74,58.34,6680000,50.77
2008-11-03,56.97,57.86,56.50,57.47,5567000,50.02
2008-10-31,57.00,57.99,56.25,57.01,9416200,49.62
2008-10-30,56.22,57.68,55.82,57.08,10030900,49.68
2008-10-29,55.86,57.48,54.22,55.00,9255900,47.87
2008-10-28,52.65,56.50,52.16,55.83,12930100,48.59
2008-10-27,52.18,53.77,50.72,51.49,9168600,44.81
2008-10-24,50.51,53.01,50.41,51.76,10365200,45.05
2008-10-23,53.73,54.62,51.06,53.48,11878400,46.54
2008-10-22,53.99,54.86,52.39,53.64,9405500,46.68
2008-10-21,55.99,56.63,54.70,55.00,9079800,47.87
2008-10-20,54.54,56.76,53.85,56.76,13080400,49.40
2008-10-17,51.87,55.48,51.75,53.88,14242400,46.89
2008-10-16,51.39,53.25,50.66,53.08,19697100,46.20
2008-10-15,54.15,54.72,50.65,51.25,22994100,44.60
